Name,YT Scope Project,
File,C:\Users\Banan\mas247\mas247_olje\StepResponsePlot.csv,
Starttime of export,133437580216110000,Monday, November 6, 2023,16:27:01.611
Endtime of export,133437583732510000,Monday, November 6, 2023,16:32:53.251


Name,Level_Transmitter_2,Name,Pressure_Differencial_Transmitter_1
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,2
SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472
IndexOffset,385156,IndexOffset,385160
SymbolName,MAIN.Level_Transmitter_2,SymbolName,MAIN.Pressure_Differencial_Transmitter_1
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

3220,0,3220,2698
3230,0,3230,2697
3240,0,3240,2698
3250,0,3250,2699
3260,0,3260,2697
3270,0,3270,2698
3280,0,3280,2703
3290,0,3290,2702
3300,0,3300,2699
3310,0,3310,2698
3320,0,3320,2703
3330,0,3330,2706
3340,0,3340,2702
3350,0,3350,2703
3360,0,3360,2705
3370,0,3370,2702
3380,0,3380,2698
3390,0,3390,2699
3400,0,3400,2702
3410,0,3410,2703
3420,0,3420,2699
3430,0,3430,2701
3440,0,3440,2701
3450,0,3450,2699
3460,0,3460,2703
3470,0,3470,2699
3480,0,3480,2698
3490,0,3490,2697
3500,0,3500,2694
3510,0,3510,2695
3520,0,3520,2698
3530,0,3530,2698
3540,0,3540,2699
3550,0,3550,2706
3560,0,3560,2706
3570,0,3570,2702
3580,0,3580,2698
3590,0,3590,2698
3600,0,3600,2701
3610,0,3610,2702
3620,0,3620,2705
3630,0,3630,2705
3640,0,3640,2701
3650,0,3650,2702
3660,0,3660,2702
3670,0,3670,2699
3680,0,3680,2701
3690,0,3690,2699
3700,0,3700,2697
3710,0,3710,2697
3720,0,3720,2698
3730,0,3730,2695
3740,0,3740,2698
3750,0,3750,2699
3760,0,3760,2697
3770,0,3770,2698
3780,0,3780,2697
3790,0,3790,2698
3800,0,3800,2699
3810,0,3810,2697
3820,0,3820,2698
3830,0,3830,2698
3840,0,3840,2697
3850,0,3850,2698
3860,0,3860,2701
3870,0,3870,2703
3880,0,3880,2699
3890,0,3890,2697
3900,0,3900,2698
3910,0,3910,2697
3920,0,3920,2694
3930,0,3930,2695
3940,0,3940,2699
3950,0,3950,2702
3960,0,3960,2698
3970,0,3970,2697
3980,0,3980,2699
3990,0,3990,2697
4000,0,4000,2695
4010,0,4010,2697
4020,0,4020,2697
4030,0,4030,2695
4040,0,4040,2693
4050,0,4050,2693
4060,0,4060,2694
4070,0,4070,2698
4080,0,4080,2699
4090,0,4090,2699
4100,0,4100,2699
4110,0,4110,2699
4120,0,4120,2697
4130,0,4130,2694
4140,0,4140,2698
4150,0,4150,2699
4160,0,4160,2698
4170,0,4170,2699
4180,0,4180,2699
4190,0,4190,2697
4200,0,4200,2697
4210,0,4210,2695
4220,0,4220,2697
4230,0,4230,2699
4240,0,4240,2697
4250,0,4250,2695
4260,0,4260,2695
4270,0,4270,2698
4280,0,4280,2699
4290,0,4290,2698
4300,0,4300,2697
