 Percentages	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	 Motor switch_
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	61488
IndexOffset	482800	IndexOffset	482802	IndexOffset	482806	IndexOffset	482808	IndexOffset	482810	IndexOffset	482812	IndexOffset	482814	IndexOffset	482804	IndexOffset	385148
SymbolName	MAIN.LT1percent	SymbolName	MAIN.LT2percent	SymbolName	MAIN.PDT1percent	SymbolName	MAIN.PDT2percent	SymbolName	MAIN.PT1percent	SymbolName	MAIN.PT2percent	SymbolName	MAIN.PT3percent	SymbolName	MAIN.TT1percent	SymbolName	MAIN.Motor_ON_OFF
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

740	134	740	0	740	1770	740	0	740	1244	740	118	740	0	740	7241	740	0
750	131	750	0	750	1772	750	0	750	1241	750	115	750	0	750	7243	750	0
760	130	760	0	760	1767	760	0	760	1240	760	114	760	0	760	7240	760	0
770	131	770	0	770	1764	770	0	770	1244	770	117	770	0	770	7238	770	0
780	135	780	0	780	1768	780	0	780	1243	780	117	780	0	780	7240	780	0
790	135	790	0	790	1774	790	0	790	1241	790	113	790	0	790	7241	790	0
800	134	800	0	800	1772	800	0	800	1241	800	114	800	0	800	7244	800	0
810	135	810	0	810	1768	810	0	810	1243	810	114	810	0	810	7243	810	0
820	137	820	0	820	1766	820	0	820	1245	820	115	820	0	820	7241	820	0
830	135	830	0	830	1766	830	0	830	1241	830	118	830	0	830	7238	830	0
840	138	840	0	840	1767	840	0	840	1236	840	117	840	0	840	7237	840	0
850	133	850	0	850	1770	850	0	850	1239	850	117	850	0	850	7240	850	0
860	130	860	0	860	1771	860	0	860	1240	860	118	860	0	860	7243	860	0
870	133	870	0	870	1767	870	0	870	1239	870	118	870	0	870	7241	870	0
880	140	880	0	880	1770	880	0	880	1240	880	118	880	0	880	7240	880	0
890	138	890	0	890	1770	890	0	890	1243	890	119	890	0	890	7240	890	0
900	131	900	0	900	1771	900	0	900	1244	900	118	900	0	900	7241	900	0
910	134	910	0	910	1774	910	0	910	1245	910	118	910	0	910	7243	910	0
920	135	920	0	920	1775	920	0	920	1244	920	119	920	0	920	7241	920	0
930	135	930	0	930	1771	930	0	930	1241	930	119	930	0	930	7241	930	0
940	133	940	0	940	1767	940	0	940	1239	940	121	940	0	940	7244	940	0
950	131	950	0	950	1768	950	0	950	1239	950	118	950	0	950	7247	950	0
960	130	960	0	960	1768	960	0	960	1241	960	114	960	0	960	7247	960	0
970	125	970	0	970	1767	970	0	970	1245	970	117	970	0	970	7245	970	0
980	130	980	0	980	1766	980	0	980	1247	980	121	980	0	980	7248	980	0
990	131	990	0	990	1770	990	0	990	1241	990	122	990	0	990	7249	990	0
1000	131	1000	0	1000	1771	1000	0	1000	1240	1000	121	1000	0	1000	7248	1000	0
1010	137	1010	0	1010	1770	1010	0	1010	1241	1010	118	1010	0	1010	7245	1010	0
1020	134	1020	0	1020	1767	1020	0	1020	1240	1020	114	1020	0	1020	7247	1020	0
1030	133	1030	0	1030	1766	1030	0	1030	1239	1030	121	1030	0	1030	7247	1030	0
1040	135	1040	0	1040	1767	1040	0	1040	1240	1040	121	1040	0	1040	7248	1040	0
1050	134	1050	0	1050	1770	1050	0	1050	1241	1050	117	1050	0	1050	7249	1050	0
1060	138	1060	0	1060	1767	1060	0	1060	1243	1060	118	1060	0	1060	7247	1060	0
1070	138	1070	0	1070	1770	1070	0	1070	1241	1070	118	1070	0	1070	7248	1070	0
1080	133	1080	0	1080	1771	1080	0	1080	1241	1080	119	1080	0	1080	7249	1080	0
1090	133	1090	0	1090	1767	1090	0	1090	1240	1090	118	1090	0	1090	7248	1090	0
