 Percentages	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448
IndexOffset	482800	IndexOffset	482802	IndexOffset	482806	IndexOffset	482808	IndexOffset	482810	IndexOffset	482812	IndexOffset	482814	IndexOffset	482804
SymbolName	MAIN.LT1percent	SymbolName	MAIN.LT2percent	SymbolName	MAIN.PDT1percent	SymbolName	MAIN.PDT2percent	SymbolName	MAIN.PT1percent	SymbolName	MAIN.PT2percent	SymbolName	MAIN.PT3percent	SymbolName	MAIN.TT1percent
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

1380	137	1380	0	1380	1759	1380	0	1380	1244	1380	114	1380	0	1380	7245
1390	140	1390	0	1390	1759	1390	0	1390	1245	1390	115	1390	0	1390	7244
1400	135	1400	0	1400	1760	1400	0	1400	1244	1400	122	1400	0	1400	7244
1410	131	1410	0	1410	1760	1410	0	1410	1243	1410	121	1410	0	1410	7248
1420	134	1420	0	1420	1759	1420	0	1420	1243	1420	117	1420	0	1420	7245
1430	134	1430	0	1430	1763	1430	0	1430	1241	1430	119	1430	0	1430	7241
1440	134	1440	0	1440	1764	1440	0	1440	1241	1440	119	1440	0	1440	7247
1450	133	1450	0	1450	1762	1450	0	1450	1247	1450	119	1450	0	1450	7251
1460	133	1460	0	1460	1763	1460	0	1460	1244	1460	121	1460	0	1460	7247
1470	135	1470	0	1470	1766	1470	0	1470	1241	1470	121	1470	0	1470	7245
1480	135	1480	0	1480	1766	1480	0	1480	1243	1480	119	1480	0	1480	7248
1490	135	1490	0	1490	1764	1490	0	1490	1248	1490	115	1490	0	1490	7248
1500	138	1500	0	1500	1764	1500	0	1500	1249	1500	115	1500	0	1500	7247
1510	138	1510	0	1510	1763	1510	0	1510	1245	1510	118	1510	0	1510	7243
1520	134	1520	0	1520	1762	1520	0	1520	1241	1520	117	1520	0	1520	7238
1530	135	1530	0	1530	1759	1530	0	1530	1241	1530	118	1530	0	1530	7240
1540	138	1540	0	1540	1758	1540	0	1540	1247	1540	118	1540	0	1540	7243
1550	137	1550	0	1550	1767	1550	0	1550	1244	1550	114	1550	0	1550	7245
1560	133	1560	0	1560	1768	1560	0	1560	1241	1560	117	1560	0	1560	7247
1570	131	1570	0	1570	1764	1570	0	1570	1245	1570	122	1570	0	1570	7243
1580	130	1580	0	1580	1764	1580	0	1580	1248	1580	122	1580	0	1580	7238
1590	134	1590	0	1590	1760	1590	0	1590	1248	1590	119	1590	0	1590	7236
1600	135	1600	0	1600	1762	1600	0	1600	1244	1600	118	1600	0	1600	7236
1610	127	1610	0	1610	1763	1610	0	1610	1241	1610	117	1610	0	1610	7240
1620	129	1620	0	1620	1760	1620	0	1620	1245	1620	117	1620	0	1620	7244
1630	135	1630	0	1630	1760	1630	0	1630	1245	1630	119	1630	0	1630	7240
1640	134	1640	0	1640	1763	1640	0	1640	1244	1640	118	1640	0	1640	7240
1650	135	1650	0	1650	1764	1650	0	1650	1241	1650	118	1650	0	1650	7243
1660	137	1660	0	1660	1762	1660	0	1660	1248	1660	119	1660	0	1660	7245
1670	137	1670	0	1670	1760	1670	0	1670	1247	1670	115	1670	0	1670	7247
1680	135	1680	0	1680	1759	1680	0	1680	1247	1680	111	1680	0	1680	7244
1690	137	1690	0	1690	1759	1690	0	1690	1248	1690	115	1690	0	1690	7247
1700	138	1700	0	1700	1762	1700	0	1700	1244	1700	119	1700	0	1700	7248
1710	135	1710	0	1710	1763	1710	0	1710	1245	1710	117	1710	0	1710	7245
1720	130	1720	0	1720	1764	1720	0	1720	1249	1720	117	1720	0	1720	7241
1730	133	1730	0	1730	1760	1730	0	1730	1247	1730	118	1730	0	1730	7241
1740	135	1740	0	1740	1756	1740	0	1740	1245	1740	114	1740	0	1740	7243
1750	135	1750	0	1750	1759	1750	0	1750	1243	1750	117	1750	0	1750	7245
1760	134	1760	0	1760	1766	1760	0	1760	1244	1760	118	1760	0	1760	7245
1770	129	1770	0	1770	1764	1770	0	1770	1247	1770	114	1770	0	1770	7243
1780	137	1780	0	1780	1763	1780	0	1780	1247	1780	117	1780	0	1780	7243
1790	137	1790	0	1790	1764	1790	0	1790	1244	1790	117	1790	0	1790	7244
1800	135	1800	0	1800	1759	1800	0	1800	1241	1800	115	1800	0	1800	7243
1810	140	1810	0	1810	1759	1810	0	1810	1244	1810	118	1810	0	1810	7244
1820	134	1820	0	1820	1762	1820	0	1820	1245	1820	119	1820	0	1820	7247
1830	134	1830	0	1830	1762	1830	0	1830	1245	1830	119	1830	0	1830	7244
1840	133	1840	0	1840	1762	1840	0	1840	1244	1840	119	1840	0	1840	7245
1850	130	1850	0	1850	1763	1850	0	1850	1243	1850	117	1850	0	1850	7245
1860	137	1860	0	1860	1766	1860	0	1860	1241	1860	117	1860	0	1860	7243
1870	134	1870	0	1870	1766	1870	0	1870	1243	1870	122	1870	0	1870	7243
1880	131	1880	0	1880	1762	1880	0	1880	1247	1880	121	1880	0	1880	7247
1890	135	1890	0	1890	1762	1890	0	1890	1243	1890	119	1890	0	1890	7244
1900	134	1900	0	1900	1764	1900	0	1900	1241	1900	119	1900	0	1900	7241
1910	134	1910	0	1910	1762	1910	0	1910	1243	1910	118	1910	0	1910	7241
1920	134	1920	0	1920	1764	1920	0	1920	1244	1920	118	1920	0	1920	7244
1930	131	1930	0	1930	1763	1930	0	1930	1245	1930	118	1930	0	1930	7245
1940	127	1940	0	1940	1763	1940	0	1940	1244	1940	117	1940	0	1940	7240
1950	130	1950	0	1950	1767	1950	0	1950	1244	1950	119	1950	0	1950	7240
1960	134	1960	0	1960	1763	1960	0	1960	1243	1960	121	1960	0	1960	7244
1970	137	1970	0	1970	1764	1970	0	1970	1245	1970	119	1970	0	1970	7240
1980	134	1980	0	1980	1766	1980	0	1980	1245	1980	121	1980	0	1980	7236
1990	131	1990	0	1990	1762	1990	0	1990	1247	1990	119	1990	0	1990	7237
2000	133	2000	0	2000	1759	2000	0	2000	1243	2000	118	2000	0	2000	7241
2010	134	2010	0	2010	1759	2010	0	2010	1241	2010	118	2010	0	2010	7243
2020	137	2020	0	2020	1760	2020	0	2020	1244	2020	119	2020	0	2020	7240
2030	140	2030	0	2030	1763	2030	0	2030	1241	2030	119	2030	0	2030	7243
2040	134	2040	0	2040	1763	2040	0	2040	1247	2040	118	2040	0	2040	7245
2050	131	2050	0	2050	1760	2050	0	2050	1251	2050	119	2050	0	2050	7244
2060	138	2060	0	2060	1763	2060	0	2060	1249	2060	122	2060	0	2060	7241
2070	141	2070	0	2070	1763	2070	0	2070	1247	2070	125	2070	0	2070	7234
2080	135	2080	0	2080	1764	2080	0	2080	1245	2080	122	2080	0	2080	7240
2090	134	2090	0	2090	1764	2090	0	2090	1249	2090	118	2090	0	2090	7247
2100	130	2100	0	2100	1766	2100	0	2100	1251	2100	122	2100	0	2100	7243
2110	131	2110	0	2110	1766	2110	0	2110	1248	2110	122	2110	0	2110	7240
2120	134	2120	0	2120	1763	2120	0	2120	1245	2120	115	2120	0	2120	7238
2130	135	2130	0	2130	1760	2130	0	2130	1245	2130	117	2130	0	2130	7240
2140	138	2140	0	2140	1762	2140	0	2140	1248	2140	122	2140	0	2140	7241
2150	135	2150	0	2150	1764	2150	0	2150	1245	2150	121	2150	0	2150	7243
2160	133	2160	0	2160	1763	2160	0	2160	1243	2160	115	2160	0	2160	7241
2170	140	2170	0	2170	1766	2170	0	2170	1247	2170	115	2170	0	2170	7240
2180	140	2180	0	2180	1764	2180	0	2180	1249	2180	115	2180	0	2180	7240
2190	137	2190	0	2190	1763	2190	0	2190	1245	2190	111	2190	0	2190	7244
2200	130	2200	0	2200	1763	2200	0	2200	1243	2200	113	2200	0	2200	7244
2210	130	2210	0	2210	1762	2210	0	2210	1248	2210	117	2210	0	2210	7241
2220	141	2220	0	2220	1763	2220	0	2220	1247	2220	117	2220	0	2220	7241
2230	140	2230	0	2230	1760	2230	0	2230	1244	2230	119	2230	0	2230	7240
2240	133	2240	0	2240	1758	2240	0	2240	1244	2240	121	2240	0	2240	7241
2250	127	2250	0	2250	1764	2250	0	2250	1245	2250	121	2250	0	2250	7243
2260	130	2260	0	2260	1767	2260	0	2260	1248	2260	122	2260	0	2260	7243
2270	129	2270	0	2270	1767	2270	0	2270	1245	2270	121	2270	0	2270	7244
2280	129	2280	0	2280	1767	2280	0	2280	1247	2280	118	2280	0	2280	7243
2290	131	2290	0	2290	1763	2290	0	2290	1247	2290	118	2290	0	2290	7243
2300	131	2300	0	2300	1759	2300	0	2300	1243	2300	122	2300	0	2300	7238
2310	131	2310	0	2310	1759	2310	0	2310	1243	2310	121	2310	0	2310	7238
2320	133	2320	0	2320	1760	2320	0	2320	1244	2320	118	2320	0	2320	7244
2330	137	2330	0	2330	1762	2330	0	2330	1245	2330	118	2330	0	2330	7243
2340	138	2340	0	2340	1760	2340	0	2340	1245	2340	117	2340	0	2340	7240
2350	135	2350	0	2350	1762	2350	0	2350	1248	2350	117	2350	0	2350	7241
2360	129	2360	0	2360	1766	2360	0	2360	1247	2360	117	2360	0	2360	7244
2370	129	2370	0	2370	1758	2370	0	2370	1245	2370	117	2370	0	2370	7243
2380	135	2380	0	2380	1759	2380	0	2380	1244	2380	119	2380	0	2380	7241
2390	137	2390	0	2390	1763	2390	0	2390	1241	2390	119	2390	0	2390	7243
2400	138	2400	0	2400	1759	2400	0	2400	1245	2400	115	2400	0	2400	7244
2410	137	2410	0	2410	1762	2410	0	2410	1243	2410	113	2410	0	2410	7244
2420	133	2420	0	2420	1766	2420	0	2420	1243	2420	117	2420	0	2420	7241
2430	135	2430	0	2430	1764	2430	0	2430	1241	2430	121	2430	0	2430	7238
2440	130	2440	0	2440	1764	2440	0	2440	1244	2440	121	2440	0	2440	7238
