Name,Tank2DataThursday,
File,C:\Users\Banan\Documents\Systemmodell Tank IndustriellIT\Tank2InnUtData.csv,
Starttime of export,133446110914130000,Thursday, November 16, 2023,13:24:51.413
Endtime of export,133446112326030000,Thursday, November 16, 2023,13:27:12.603


Name,Level_Valve_2_Percentage,Name,LT2mm
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,REAL32
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,4
SymbolBased,True,SymbolBased,True
IndexGroup,16448,IndexGroup,16448
IndexOffset,413098,IndexOffset,412856
SymbolName,MAIN.Level_Valve_2_Percentage,SymbolName,MAIN.LT2mm
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

2870,10,2870,115.553047
2880,10,2880,115.523613
2890,10,2890,115.523613
2900,10,2900,115.547157
2910,10,2910,115.558929
2920,10,2920,115.5707
2930,10,2930,115.5707
2940,10,2940,115.553047
2950,10,2950,115.535385
2960,10,2960,115.5295
2970,10,2970,115.5295
2980,10,2980,115.535385
2990,10,2990,115.535385
3000,10,3000,115.547157
3010,10,3010,115.535385
3020,10,3020,115.535385
3030,10,3030,115.535385
3040,10,3040,115.547157
3050,10,3050,115.553047
3060,10,3060,115.547157
3070,10,3070,115.547157
3080,10,3080,115.535385
3090,10,3090,115.5295
3100,10,3100,115.553047
3110,10,3110,115.558929
3120,10,3120,115.535385
3130,10,3130,115.5707
3140,10,3140,115.61779
3150,10,3150,115.594246
3160,10,3160,115.5707
3170,10,3170,115.553047
3180,10,3180,115.553047
3190,10,3190,115.5707
3200,10,3200,115.5707
3210,10,3210,115.558929
3220,10,3220,115.576591
3230,10,3230,115.5707
3240,10,3240,115.558929
3250,10,3250,115.5707
3260,10,3260,115.547157
3270,10,3270,115.523613
3280,10,3280,115.535385
3290,10,3290,115.558929
3300,10,3300,115.547157
3310,10,3310,115.547157
3320,10,3320,115.558929
3330,10,3330,115.5707
3340,10,3340,115.5707
3350,10,3350,115.5707
3360,10,3360,115.535385
3370,10,3370,115.5295
3380,10,3380,115.553047
3390,10,3390,115.547157
3400,10,3400,115.5295
3410,10,3410,115.5295
3420,10,3420,115.535385
3430,10,3430,115.553047
3440,10,3440,115.558929
3450,10,3450,115.547157
3460,10,3460,115.553047
3470,10,3470,115.558929
3480,10,3480,115.558929
3490,10,3490,115.535385
3500,10,3500,115.5295
3510,10,3510,115.558929
3520,10,3520,115.576591
3530,10,3530,115.582474
3540,10,3540,115.5707
3550,10,3550,115.553047
3560,10,3560,115.547157
3570,10,3570,115.535385
3580,10,3580,115.535385
3590,10,3590,115.547157
3600,10,3600,115.5295
3610,10,3610,115.523613
3620,10,3620,115.535385
3630,10,3630,115.547157
3640,10,3640,115.5295
3650,10,3650,115.511841
3660,10,3660,115.5707
3670,10,3670,115.558929
3680,10,3680,115.5707
3690,10,3690,115.5707
3700,10,3700,115.5295
3710,10,3710,115.553047
3720,10,3720,115.5707
3730,10,3730,115.5707
3740,10,3740,115.576591
3750,10,3750,115.582474
3760,10,3760,115.558929
3770,10,3770,115.535385
3780,10,3780,115.5707
3790,10,3790,115.558929
3800,10,3800,115.523613
3810,10,3810,115.523613
3820,10,3820,115.553047
3830,10,3830,115.523613
3840,10,3840,115.523613
3850,10,3850,115.5707
3860,10,3860,115.5707
3870,10,3870,115.558929
3880,10,3880,115.558929
3890,10,3890,115.5707
3900,10,3900,115.5707
3910,10,3910,115.535385
3920,10,3920,115.5295
3930,10,3930,115.553047
3940,10,3940,115.576591
3950,10,3950,115.5707
3960,10,3960,115.523613
3970,10,3970,115.505959
3980,10,3980,115.5295
3990,10,3990,115.535385
4000,10,4000,115.558929
4010,10,4010,115.558929
4020,10,4020,115.5707
4030,10,4030,115.535385
4040,10,4040,115.511841
4050,10,4050,115.558929
4060,10,4060,115.5707
4070,10,4070,115.582474
4080,10,4080,115.582474
4090,10,4090,115.558929
4100,10,4100,115.535385
4110,10,4110,115.523613
4120,10,4120,115.535385
4130,10,4130,115.5295
4140,10,4140,115.5295
4150,10,4150,115.5295
4160,10,4160,115.553047
4170,10,4170,115.5707
4180,10,4180,115.547157
4190,10,4190,115.511841
4200,10,4200,115.535385
4210,10,4210,115.558929
4220,10,4220,115.5707
4230,10,4230,115.5707
4240,10,4240,115.5295
4250,10,4250,115.535385
4260,10,4260,115.594246
4270,10,4270,115.61779
4280,10,4280,115.600136
4290,10,4290,115.558929
4300,10,4300,115.547157
4310,10,4310,115.553047
4320,10,4320,115.535385
4330,10,4330,115.547157
4340,10,4340,115.576591
4350,10,4350,115.594246
4360,10,4360,115.611908
4370,10,4370,115.576591
4380,10,4380,115.505959
4390,10,4390,115.5295
4400,10,4400,115.582474
4410,10,4410,115.5707
4420,10,4420,115.547157
4430,10,4430,115.553047
4440,10,4440,115.558929
4450,10,4450,115.558929
4460,10,4460,115.547157
