SymbolName	MAIN.LT1mm	SymbolName	MAIN.LT2mm	SymbolName	MAIN.PDT1bar	SymbolName	MAIN.PDT2bar	SymbolName	MAIN.PT1bar	SymbolName	MAIN.PT2bar	SymbolName	MAIN.TT1c	SymbolName	MAIN.Motor_ON_OFF
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

560	37.70661	560	42	560	0.0252460111	560	0.004	560	0.2842433	560	0.0806659162	560	16.24958	560	0
570	37.7438	570	42	570	0.0252943523	570	0.004	570	0.285330981	570	0.08012207	570	16.23127	570	0
580	37.75443	580	42	580	0.02527018	580	0.004	580	0.284605861	580	0.08048463	580	16.2587357	580	0
590	37.7119255	590	42	590	0.0252580959	590	0.004	590	0.284605861	590	0.0799407959	590	16.2953568	590	0
600	37.6906738	600	42	600	0.0252580959	600	0.004	600	0.2849684	600	0.07939695	600	16.3228226	600	0
610	37.7278633	610	42	610	0.0252460111	610	0.004	610	0.2849684	610	0.08048463	610	16.2862015	610	0
620	37.7331772	620	42	620	0.02527018	620	0.004	620	0.285512239	620	0.0806659162	620	16.26789	620	0
630	37.749115	630	42	630	0.0252943523	630	0.004	630	0.285512239	630	0.08048463	630	16.2587357	630	0
640	37.75443	640	42	640	0.0252460111	640	0.004	640	0.285330981	640	0.0806659162	640	16.2587357	640	0
650	37.7119255	650	42	650	0.02519767	650	0.004	650	0.284787118	650	0.08048463	650	16.2587357	650	0
660	37.7119255	660	42	660	0.0252097547	660	0.004	660	0.284062	660	0.08048463	660	16.24958	660	0
670	37.6959839	670	42	670	0.02527018	670	0.004	670	0.2842433	670	0.0806659162	670	16.2221146	670	0
680	37.6959839	680	42	680	0.02527018	680	0.004	680	0.284787118	680	0.0806659162	680	16.24958	680	0
690	37.6959839	690	42	690	0.02519767	690	0.004	690	0.284787118	690	0.08012207	690	16.24958	690	0
700	37.68536	700	42	700	0.0252097547	700	0.004	700	0.285512239	700	0.08048463	700	16.23127	700	0
710	37.6959839	710	42	710	0.0252460111	710	0.004	710	0.286237359	710	0.08048463	710	16.2587357	710	0
720	37.6906738	720	42	720	0.0252097547	720	0.004	720	0.2849684	720	0.08048463	720	16.2587357	720	0
730	37.70661	730	42	730	0.0252097547	730	0.004	730	0.284062	730	0.08084719	730	16.2587357	730	0
740	37.7331772	740	42	740	0.02519767	740	0.004	740	0.2842433	740	0.08084719	740	16.2587357	740	0
750	37.7119255	750	42	750	0.02519767	750	0.004	750	0.284605861	750	0.08084719	750	16.2587357	750	0
760	37.6959839	760	42	760	0.0252097547	760	0.004	760	0.2849684	760	0.08084719	760	16.2862015	760	0
770	37.6906738	770	42	770	0.0252460111	770	0.004	770	0.284787118	770	0.08084719	770	16.26789	770	0
780	37.6959839	780	42	780	0.0252580959	780	0.004	780	0.284787118	780	0.0806659162	780	16.24958	780	0
790	37.7172356	790	42	790	0.0252460111	790	0.004	790	0.284787118	790	0.08012207	790	16.23127	790	0
800	37.7331772	800	42	800	0.02522184	800	0.004	800	0.2842433	800	0.0799407959	800	16.24958	800	0
810	37.7331772	810	42	810	0.0252460111	810	0.004	810	0.284062	810	0.08012207	810	16.2587357	810	0
820	37.7278633	820	42	820	0.02522184	820	0.004	820	0.284605861	820	0.08048463	820	16.24958	820	0
830	37.7278633	830	42	830	0.0252460111	830	0.004	830	0.285512239	830	0.08084719	830	16.26789	830	0
840	37.7172356	840	42	840	0.02527018	840	0.004	840	0.285693526	840	0.08120975	840	16.26789	840	0
850	37.7172356	850	42	850	0.0252460111	850	0.004	850	0.2849684	850	0.0806659162	850	16.2587357	850	0
860	37.70661	860	42	860	0.02527018	860	0.004	860	0.285330981	860	0.08120975	860	16.2862015	860	0
870	37.70661	870	42	870	0.0252943523	870	0.004	870	0.285330981	870	0.08084719	870	16.26789	870	0
880	37.7119255	880	42	880	0.0253064372	880	0.004	880	0.2842433	880	0.08084719	880	16.2953568	880	0
890	37.6906738	890	42	890	0.0253064372	890	0.004	890	0.284605861	890	0.08048463	890	16.2953568	890	0
900	37.7278633	900	42	900	0.0253064372	900	0.004	900	0.2849684	900	0.08012207	900	16.3136673	900	0
910	37.7172356	910	42	910	0.0252943523	910	0.004	910	0.284787118	910	0.08084719	910	16.3136673	910	0
920	37.68536	920	42	920	0.02522184	920	0.004	920	0.284787118	920	0.0806659162	920	16.2862015	920	0
930	37.6906738	930	42	930	0.02519767	930	0.004	930	0.284787118	930	0.0806659162	930	16.2862015	930	0
940	37.70661	940	42	940	0.02522184	940	0.004	940	0.285512239	940	0.08120975	940	16.2862015	940	0
950	37.7119255	950	42	950	0.02519767	950	0.004	950	0.285512239	950	0.08120975	950	16.26789	950	0
960	37.7172356	960	42	960	0.02519767	960	0.004	960	0.285512239	960	0.0806659162	960	16.2862015	960	0
970	37.7278633	970	42	970	0.02522184	970	0.004	970	0.2860561	970	0.0806659162	970	16.3502884	970	0
980	37.7119255	980	42	980	0.02522184	980	0.004	980	0.285512239	980	0.0806659162	980	16.3685989	980	0
990	37.7331772	990	42	990	0.0252460111	990	0.004	990	0.285512239	990	0.0806659162	990	16.3136673	990	0
1000	37.7119255	1000	42	1000	0.0252460111	1000	0.004	1000	0.2860561	1000	0.08012207	1000	16.3319778	1000	0
1010	37.7172356	1010	42	1010	0.0252097547	1010	0.004	1010	0.285512239	1010	0.08012207	1010	16.3502884	1010	0
1020	37.7172356	1020	42	1020	0.02519767	1020	0.004	1020	0.2849684	1020	0.08084719	1020	16.3228226	1020	0
1030	37.7119255	1030	42	1030	0.02522184	1030	0.004	1030	0.285512239	1030	0.08120975	1030	16.3319778	1030	0
1040	37.7278633	1040	42	1040	0.0252097547	1040	0.004	1040	0.285330981	1040	0.08120975	1040	16.3228226	1040	0
1050	37.7278633	1050	42	1050	0.0252460111	1050	0.004	1050	0.284787118	1050	0.0806659162	1050	16.2953568	1050	0
1060	37.7331772	1060	42	1060	0.02522184	1060	0.004	1060	0.284605861	1060	0.08084719	1060	16.2862015	1060	0
1070	37.6959839	1070	42	1070	0.0252097547	1070	0.004	1070	0.2842433	1070	0.08139104	1070	16.2953568	1070	0
1080	37.6959839	1080	42	1080	0.0252580959	1080	0.004	1080	0.284062	1080	0.08048463	1080	16.2862015	1080	0
1090	37.7172356	1090	42	1090	0.0252943523	1090	0.004	1090	0.2842433	1090	0.07975951	1090	16.2953568	1090	0
1100	37.7278633	1100	42	1100	0.0253185239	1100	0.004	1100	0.284605861	1100	0.08048463	1100	16.3136673	1100	0
1110	37.749115	1110	42	1110	0.02527018	1110	0.004	1110	0.284605861	1110	0.0806659162	1110	16.2953568	1110	0
1120	37.7438	1120	42	1120	0.0252460111	1120	0.004	1120	0.284787118	1120	0.08048463	1120	16.2953568	1120	0
1130	37.7172356	1130	42	1130	0.0252097547	1130	0.004	1130	0.2849684	1130	0.0806659162	1130	16.3136673	1130	0
1140	37.68536	1140	42	1140	0.02519767	1140	0.004	1140	0.285330981	1140	0.08048463	1140	16.2953568	1140	0
1150	37.6906738	1150	42	1150	0.0251734983	1150	0.004	1150	0.285693526	1150	0.08048463	1150	16.2587357	1150	0
1160	37.7119255	1160	42	1160	0.0251734983	1160	0.004	1160	0.285693526	1160	0.08084719	1160	16.26789	1160	0
1170	37.6959839	1170	42	1170	0.02519767	1170	0.004	1170	0.285330981	1170	0.0806659162	1170	16.26789	1170	0
1180	37.6906738	1180	42	1180	0.02522184	1180	0.004	1180	0.285330981	1180	0.08048463	1180	16.2587357	1180	0
1190	37.6959839	1190	42	1190	0.02522184	1190	0.004	1190	0.2849684	1190	0.0799407959	1190	16.26789	1190	0
1200	37.7278633	1200	42	1200	0.02519767	1200	0.004	1200	0.284787118	1200	0.0806659162	1200	16.2862015	1200	0
1210	37.7438	1210	42	1210	0.02519767	1210	0.004	1210	0.284787118	1210	0.08084719	1210	16.3319778	1210	0
1220	37.7331772	1220	42	1220	0.0252097547	1220	0.004	1220	0.285512239	1220	0.08048463	1220	16.3136673	1220	0
1230	37.7331772	1230	42	1230	0.0252580959	1230	0.004	1230	0.2860561	1230	0.08048463	1230	16.26789	1230	0
1240	37.7172356	1240	42	1240	0.0252460111	1240	0.004	1240	0.285693526	1240	0.08048463	1240	16.2587357	1240	0
1250	37.70661	1250	42	1250	0.02522184	1250	0.004	1250	0.284605861	1250	0.0806659162	1250	16.26789	1250	0
1260	37.7278633	1260	42	1260	0.0252580959	1260	0.004	1260	0.284605861	1260	0.08048463	1260	16.2862015	1260	0
1270	37.7331772	1270	42	1270	0.0252460111	1270	0.004	1270	0.285693526	1270	0.08084719	1270	16.2862015	1270	0
1280	37.7119255	1280	42	1280	0.0252097547	1280	0.004	1280	0.285512239	1280	0.08048463	1280	16.2953568	1280	0
1290	37.7172356	1290	42	1290	0.02522184	1290	0.004	1290	0.284062	1290	0.0799407959	1290	16.3228226	1290	0
1300	37.7172356	1300	42	1300	0.0252460111	1300	0.004	1300	0.2842433	1300	0.08012207	1300	16.3136673	1300	0
1310	37.70661	1310	42	1310	0.0252097547	1310	0.004	1310	0.2860561	1310	0.0799407959	1310	16.2862015	1310	0
1320	37.7119255	1320	42	1320	0.02522184	1320	0.004	1320	0.285693526	1320	0.0799407959	1320	16.2862015	1320	0
1330	37.7172356	1330	42	1330	0.02522184	1330	0.004	1330	0.2849684	1330	0.0806659162	1330	16.2953568	1330	0
1340	37.7119255	1340	42	1340	0.02522184	1340	0.004	1340	0.285330981	1340	0.08120975	1340	16.3228226	1340	0
1350	37.6906738	1350	42	1350	0.0252460111	1350	0.004	1350	0.284787118	1350	0.0806659162	1350	16.3319778	1350	0
1360	37.6959839	1360	42	1360	0.0252460111	1360	0.004	1360	0.2849684	1360	0.08012207	1360	16.3594437	1360	0
1370	37.70661	1370	42	1370	0.0252580959	1370	0.004	1370	0.284787118	1370	0.0806659162	1370	16.3228226	1370	0
1380	37.7119255	1380	42	1380	0.02522184	1380	0.004	1380	0.2842433	1380	0.0806659162	1380	16.2862015	1380	0
1390	37.7278633	1390	42	1390	0.0252097547	1390	0.004	1390	0.285330981	1390	0.08084719	1390	16.3319778	1390	0
1400	37.70661	1400	42	1400	0.02522184	1400	0.004	1400	0.285330981	1400	0.08120975	1400	16.3319778	1400	0
1410	37.6959839	1410	42	1410	0.0252460111	1410	0.004	1410	0.2849684	1410	0.0806659162	1410	16.3228226	1410	0
1420	37.6959839	1420	42	1420	0.0252460111	1420	0.004	1420	0.285512239	1420	0.0806659162	1420	16.3228226	1420	0
1430	37.7172356	1430	42	1430	0.02522184	1430	0.004	1430	0.2860561	1430	0.08048463	1430	16.3502884	1430	0
1440	37.7172356	1440	42	1440	0.0252097547	1440	0.004	1440	0.285512239	1440	0.07939695	1440	16.3319778	1440	0
1450	37.70661	1450	42	1450	0.0252097547	1450	0.004	1450	0.285330981	1450	0.0799407959	1450	16.3136673	1450	0
1460	37.70661	1460	42	1460	0.02522184	1460	0.004	1460	0.284787118	1460	0.08048463	1460	16.3319778	1460	0
1470	37.7278633	1470	42	1470	0.0252097547	1470	0.004	1470	0.2849684	1470	0.08012207	1470	16.3502884	1470	0
1480	37.7119255	1480	42	1480	0.0252460111	1480	0.004	1480	0.285512239	1480	0.0799407959	1480	16.3319778	1480	0
1490	37.6959839	1490	42	1490	0.0252580959	1490	0.004	1490	0.285512239	1490	0.0799407959	1490	16.3228226	1490	0
